ID,Nombre del negocio,Categoria,Grupo,Direccion,Barrio,Localidad,Ciudad,Distancia aprox. (km),Telefono,WhatsApp,Link WhatsApp,Correo electronico,Sitio web,Facebook,Instagram,LinkedIn,Horario de atencion,Calificacion Google,N Resenas,Propietario / Gerente,Persona de contacto,Presencia digital,Score Contacto,Servicios sugeridos,Observaciones comerciales,Prioridad,Fuente,place_id,lat,lon
GYX-8AE05B4FB0,DEMO Abogados Ciudad Bolivar 092,Abogados,Servicios profesionales,Calle 1 Sur #96-14,,Ciudad Bolivar,Bogota D.C.,9.46,+57 300 000 5767,+57 300 000 5767,https://wa.me/573000005767,,,,,,Mo-Sa 08:00-18:00,,,,,BAJA,100,Landing page | CRM | Automatizacion de leads | Power BI | Automatizacion WhatsApp,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo",ALTA,OpenStreetMap,osm:way/1000092,4.547138,-74.144171
GYX-2FB19C42A6,DEMO Abogados Ciudad Bolivar 212,Abogados,Servicios profesionales,Calle 62 Sur #8-15,,Ciudad Bolivar,Bogota D.C.,11.33,+57 300 000 7606,+57 300 000 7606,https://wa.me/573000007606,,,,,,Mo-Sa 08:00-18:00,,,,,BAJA,100,Landing page | CRM | Automatizacion de leads | Power BI | Automatizacion WhatsApp,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo",ALTA,OpenStreetMap,osm:way/1000212,4.524771,-74.146744
GYX-0EA2B94757,DEMO Abogados Ciudad Bolivar 312,Abogados,Servicios profesionales,Calle 174 Sur #17-29,,Ciudad Bolivar,Bogota D.C.,10.4,+57 300 000 4911,+57 300 000 4911,https://wa.me/573000004911,,,,,,,,,,,BAJA,100,Landing page | CRM | Automatizacion de leads | Power BI | Automatizacion WhatsApp,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:way/1000312,4.53915,-74.148592
GYX-39D9BE944B,DEMO Barberia Tunjuelito 023,Barberia,Belleza,Calle 64 Sur #25-45,,Ciudad Bolivar,Bogota D.C.,8.41,+57 300 000 2601,+57 300 000 2601,https://wa.me/573000002601,,,,,,,,,,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:node/1000023,4.554244,-74.137588
GYX-272D2C9101,DEMO Barberia Tunjuelito 283,Barberia,Belleza,Calle 170 Sur #12-52,,Tunjuelito,Bogota D.C.,8.01,+57 300 000 8868,+57 300 000 8868,https://wa.me/573000008868,,,,,,Mo-Sa 08:00-18:00,,,,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo",ALTA,OpenStreetMap,osm:node/1000283,4.57937,-74.145623
GYX-E4EB2F8938,DEMO Contaduria Kennedy 031,Contaduria,Servicios profesionales,Calle 69 Sur #80-26,,Kennedy,Bogota D.C.,6.87,+57 300 000 4906,+57 300 000 4906,https://wa.me/573000004906,,,,,,,,,,,BAJA,100,Landing page | CRM | Automatizacion de leads | Power BI | Automatizacion WhatsApp,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:node/1000031,4.622123,-74.132933
GYX-9BDA2DA796,DEMO Contaduria Kennedy 051,Contaduria,Servicios profesionales,Calle 77 Sur #33-93,,Kennedy,Bogota D.C.,9.21,+57 300 000 4910,+57 300 000 4910,https://wa.me/573000004910,,,,,,Mo-Sa 08:00-18:00,,,,,BAJA,100,Landing page | CRM | Automatizacion de leads | Power BI | Automatizacion WhatsApp,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo",ALTA,OpenStreetMap,osm:node/1000051,4.618887,-74.156253
GYX-B625FE3F21,DEMO Contaduria Kennedy 071,Contaduria,Servicios profesionales,Calle 115 Sur #23-39,,Kennedy,Bogota D.C.,8.65,+57 300 000 8551,+57 300 000 8551,https://wa.me/573000008551,,,,,,,,,,,BAJA,100,Landing page | CRM | Automatizacion de leads | Power BI | Automatizacion WhatsApp,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:node/1000071,4.608334,-74.153158
GYX-07A9996CFD,DEMO Contaduria Kennedy 111,Contaduria,Servicios profesionales,Calle 179 Sur #31-74,,Kennedy,Bogota D.C.,8.43,+57 300 000 5939,+57 300 000 5939,https://wa.me/573000005939,,,,,,,,,,,BAJA,100,Landing page | CRM | Automatizacion de leads | Power BI | Automatizacion WhatsApp,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:node/1000111,4.605042,-74.151519
GYX-6059C868D8,DEMO Contaduria Kennedy 171,Contaduria,Servicios profesionales,Calle 139 Sur #5-89,,Kennedy,Bogota D.C.,9.78,+57 300 000 2993,+57 300 000 2993,https://wa.me/573000002993,,,,,,,,,,,BAJA,100,Landing page | CRM | Automatizacion de leads | Power BI | Automatizacion WhatsApp,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:node/1000171,4.627138,-74.159063
GYX-C6361B1D2C,DEMO Contaduria Kennedy 191,Contaduria,Servicios profesionales,Calle 65 Sur #64-18,,Kennedy,Bogota D.C.,8.87,+57 300 000 7386,+57 300 000 7386,https://wa.me/573000007386,,,,,,,,,DEMO Operador 8,,BAJA,100,Landing page | CRM | Automatizacion de leads | Power BI | Automatizacion WhatsApp,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:node/1000191,4.618218,-74.153265
GYX-21F7A17F48,DEMO Drogueria Fontibon 114,Drogueria,Salud,Calle 66 Sur #78-61,,Fontibon,Bogota D.C.,12.54,+57 300 000 4969,+57 300 000 4969,https://wa.me/573000004969,,,,,,,,,,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:node/1000114,4.661849,-74.169115
GYX-DCD2FE5000,DEMO Drogueria Fontibon 214,Drogueria,Salud,Calle 109 Sur #19-46,,Fontibon,Bogota D.C.,11.83,+57 300 000 1906,+57 300 000 1906,https://wa.me/573000001906,,,,,,,,,,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:node/1000214,4.684213,-74.138523
GYX-F4083D30AA,DEMO Drogueria Fontibon 274,Drogueria,Salud,Calle 19 Sur #77-73,,Fontibon,Bogota D.C.,8.92,+57 300 000 3689,+57 300 000 3689,https://wa.me/573000003689,,,,,,Mo-Sa 08:00-18:00,,,,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo",ALTA,OpenStreetMap,osm:node/1000274,4.651959,-74.135495
GYX-53C5BC620F,DEMO Estetica Fontibon 104,Centro estetico,Belleza,Calle 74 Sur #62-22,,Fontibon,Bogota D.C.,12.15,+57 300 000 4358,+57 300 000 4358,https://wa.me/573000004358,,,,,,,,,DEMO Operador 12,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:way/1000104,4.683002,-74.144739
GYX-11D90417C0,DEMO Estetica Fontibon 144,Centro estetico,Belleza,Calle 60 Sur #40-87,,Fontibon,Bogota D.C.,11.81,+57 300 000 7479,+57 300 000 7479,https://wa.me/573000007479,,,,,,,,,,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:way/1000144,4.66939,-74.15473
GYX-5C0C881A21,DEMO Ferreteria Tunjuelito 073,Ferreteria,Comercio,Calle 63 Sur #65-77,,Tunjuelito,Bogota D.C.,8.52,+57 300 000 2647,+57 300 000 2647,https://wa.me/573000002647,,,,,,,,,,,BAJA,100,Inventario | Dashboard BI | Catalogo digital | Pagina web | Automatizacion WhatsApp | Gestion de redes,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:node/1000073,4.563054,-74.144157
GYX-EC26182539,DEMO Ferreteria Tunjuelito 173,Ferreteria,Comercio,Calle 23 Sur #95-79,,Tunjuelito,Bogota D.C.,9.2,+57 300 000 8440,+57 300 000 8440,https://wa.me/573000008440,,,,,,,,,,,BAJA,100,Inventario | Dashboard BI | Catalogo digital | Pagina web | Automatizacion WhatsApp | Gestion de redes,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:node/1000173,4.561532,-74.150264
GYX-F4C9D19069,DEMO Gimnasio Engativa 245,Gimnasio,Bienestar,Calle 103 Sur #87-54,,Engativa,Bogota D.C.,9.49,+57 300 000 7160,+57 300 000 7160,https://wa.me/573000007160,,,,,,Mo-Sa 08:00-18:00,,,,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo",ALTA,OpenStreetMap,osm:node/1000245,4.680617,-74.09773
GYX-0F168785F5,DEMO Gimnasio Engativa 285,Gimnasio,Bienestar,Calle 129 Sur #31-22,,Engativa,Bogota D.C.,10.4,+57 300 000 1879,+57 300 000 1879,https://wa.me/573000001879,,,,,,Mo-Sa 08:00-18:00,,,,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo",ALTA,OpenStreetMap,osm:node/1000285,4.689595,-74.095139
GYX-2CB7B43D32,DEMO Odontologia Bosa 020,Odontologia,Salud,Calle 55 Sur #4-42,,Bosa,Bogota D.C.,11.01,+57 300 000 9211,+57 300 000 9211,https://wa.me/573000009211,,,,,,Mo-Sa 08:00-18:00,,,,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo",ALTA,OpenStreetMap,osm:way/1000020,4.597352,-74.17513
GYX-9904F1AD65,DEMO Odontologia Bosa 040,Odontologia,Salud,Calle 165 Sur #30-20,,Bosa,Bogota D.C.,10.7,+57 300 000 3180,+57 300 000 3180,https://wa.me/573000003180,,,,,,Mo-Sa 08:00-18:00,,,DEMO Operador 18,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo",ALTA,OpenStreetMap,osm:way/1000040,4.608447,-74.171757
